city,high,low,measurement,midnight,pollutant,site,year
London,388.25536902930935,139.9322239361157,µg/m3,217.99263467770083,NOX as NO2,Station_GB0682A,2016.0
London,59.97534053927602,39.307618104729734,µg/m3,48.893534500810816,NOX as NO2,Station_GB0743A,2016.0
London,22.63906297754808,28.947486726923078,µg/m3,33.85639545114832,NOX as NO2,Station_GB0644A,2016.0
London,142.0621394865646,78.52037607191127,µg/m3,105.91951301362712,NOX as NO2,Station_GB1012A,2016.0
London,38.461194223425416,34.48234985583098,µg/m3,45.96489935939058,NOX as NO2,Station_GB1024A,2016.0
London,63.09257872227146,45.33547423432133,µg/m3,59.74528174627778,NOX as NO2,Station_GB0566A,2017.0
London,35.12176114899136,29.688329108223495,µg/m3,37.64820541189112,NOX as NO2,Station_GB0608A,2017.0
London,43.30210391917127,42.20211194183562,µg/m3,54.68869595758242,NOX as NO2,Station_GB0620A,2017.0
London,121.92984999632597,78.30732576532968,µg/m3,104.03073104621546,NOX as NO2,Station_GB0624A,2017.0
London,82.52953536569864,59.69091523443223,µg/m3,85.87783046296703,NOX as NO2,Station_GB0637A,2017.0
London,182.53375861952097,56.7774496979403,µg/m3,91.80625826489552,NOX as NO2,Station_GB0636A,2017.0
London,28.49729516173077,23.130300324262297,µg/m3,29.290203705467036,NOX as NO2,Station_GB0586A,2017.0
London,108.55105506473828,71.39720930738292,µg/m3,94.1724278630471,NOX as NO2,Station_GB0642A,2017.0
London,384.9107545794445,121.7217955731044,µg/m3,209.64404640555247,NOX as NO2,Station_GB0682A,2017.0
London,56.30556822639344,34.41313459897351,µg/m3,45.254807595032894,NOX as NO2,Station_GB0743A,2017.0
London,101.17872872533898,51.05418201280112,µg/m3,76.38855478523944,NOX as NO2,Station_GB1012A,2017.0
London,31.881791996767124,31.085496187972602,µg/m3,41.69383180939561,NOX as NO2,Station_GB1024A,2017.0
London,55.106293946298344,40.02388668169916,µg/m3,51.19084661584488,NOX as NO2,Station_GB0566A,2018.0
London,30.32601379801653,27.544287902479343,µg/m3,34.45299854027473,NOX as NO2,Station_GB0608A,2018.0
London,35.52399863867036,34.118622468818685,µg/m3,43.33187362277473,NOX as NO2,Station_GB0620A,2018.0
London,115.666344001875,76.88765546359772,µg/m3,99.31716903011366,NOX as NO2,Station_GB0624A,2018.0
London,76.96344065400001,49.042665995972605,µg/m3,70.86768900969864,NOX as NO2,Station_GB0637A,2018.0
London,162.35506279594287,51.89548319634285,µg/m3,85.43963670039774,NOX as NO2,Station_GB0636A,2018.0
London,21.259020352849316,25.910504189354842,µg/m3,23.8021564620274,NOX as NO2,Station_GB0586A,2018.0
London,85.93347403178363,53.759446408549614,µg/m3,74.17841267871721,NOX as NO2,Station_GB0642A,2018.0
London,324.96939707930557,120.4774876696676,µg/m3,190.1505716868698,NOX as NO2,Station_GB0682A,2018.0
London,49.70635779943662,33.34467712747159,µg/m3,41.07978544570224,NOX as NO2,Station_GB0743A,2018.0
London,88.33852563701923,48.92953817498403,µg/m3,68.57045066964744,NOX as NO2,Station_GB1012A,2018.0
London,26.815642414010988,25.08556349297386,µg/m3,33.437848078191784,NOX as NO2,Station_GB1024A,2018.0
London,23.256326007867035,21.4720947862465,µg/m3,26.15637587384401,NO2,Station_GB0608A,2016.0
London,33.449967764793385,30.15023696630854,µg/m3,37.8532618692562,NO2,Station_GB0620A,2016.0
London,57.215381933593754,44.56218926,µg/m3,53.63952632256173,NO2,Station_GB0624A,2016.0
London,44.88958999612022,40.596822782896176,µg/m3,43.99819311958904,NO2,Station_GB0637A,2016.0
London,86.48415216689561,40.21684841155738,µg/m3,54.18930325657535,NO2,Station_GB0636A,2016.0
London,20.86983279109589,19.41563914174721,µg/m3,21.92457575010959,NO2,Station_GB0586A,2016.0
London,57.58102570279779,36.79947320058011,µg/m3,46.25959805720222,NO2,Station_GB0642A,2016.0
London,113.49754524519338,55.99745443115703,µg/m3,76.76637409576178,NO2,Station_GB0682A,2016.0
London,36.96231465683258,26.725319951441445,µg/m3,34.95412098707207,NO2,Station_GB0743A,2016.0
London,58.18001832962585,36.12913760675768,µg/m3,46.10182877579661,NO2,Station_GB1012A,2016.0
London,25.10720250986188,20.693742588112674,µg/m3,28.443063486565094,NO2,Station_GB1024A,2016.0
London,18.490477881009614,20.598631967499998,µg/m3,24.684633345645935,NO2,Station_GB0644A,2016.0
